127.0.0.1 - - [25/Jul/2016:12:14:03 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:14 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 18396
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:14 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:16 +0900] "GET /StudyProject/login_form.room HTTP/1.1" 200 9477
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:16 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:18 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:30 +0900] "GET /StudyProject/login.room?id=jinho528&pw=dkssud%212 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:30 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:30 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:31 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:43 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:43 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:43 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:44 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:44 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:44 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:45 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:46 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 18551
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:46 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:48 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:14:48 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:27 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:28 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 18551
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:28 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:33 +0900] "GET /StudyProject/StudyRoomView.room?SRID=61 HTTP/1.1" 200 12472
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:33 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:52 +0900] "GET /StudyProject/FAQ.room HTTP/1.1" 200 14403
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:52 +0900] "GET /StudyProject/css/FAQ.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:52 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:52 +0900] "GET /StudyProject/js/FAQ.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:15:52 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:22 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:22 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:23 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:25 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:25 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:25 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:26 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:28 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:28 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:29 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:30 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:30 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:30 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:31 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:31 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:31 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:17:31 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:28:48 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:28:48 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:28:48 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:28:49 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /StudyProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /StudyProject/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:57 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/images/shape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/images/scroll.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:58 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:30:59 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/images/shape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/images/scroll.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:00 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:31:01 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/images/shape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/images/scroll.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:15 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:32:16 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:08 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 18551
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:08 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:20 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:20 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:20 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:20 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12417
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:22 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:22 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:34:22 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:36 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 19284
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:36 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:38 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 19284
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:41 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:41 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:41 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:43 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 11159
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:43 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:43 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:44 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 11159
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:48 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:48 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:48 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:48 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 12423
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:50 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:50 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 11159
0:0:0:0:0:0:0:1 - - [25/Jul/2016:12:35:50 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
