127.0.0.1 - - [24/Jun/2016:21:53:49 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:53:51 +0900] "GET /StudyProject/WEB-INF/jsp/StudyRoom/StudyRoomMain.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:53:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22038
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:06 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:07 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:07 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:07 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [24/Jun/2016:21:54:07 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
