127.0.0.1 - - [26/Jun/2016:16:09:49 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:09:51 +0900] "GET /StudyProject/WEB-INF/jsp/StudyRoom/StudyMain.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:09:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 11577
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/images/shape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/images/scroll.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:00 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:01 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:01 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:15 +0900] "GET /StudyProject/Notice.room HTTP/1.1" 200 11992
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:15 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:15 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:15 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:22 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:22 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:22 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22030
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:22 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:28 +0900] "GET /StudyProject/join_agree.room HTTP/1.1" 200 11298
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:28 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:28 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:28 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:30 +0900] "POST /StudyProject/JoinForm.room HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:30 +0900] "GET /StudyProject/GotoJoinForm.room HTTP/1.1" 200 31887
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:30 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:30 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:30 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:39 +0900] "GET /StudyProject/login_form.room HTTP/1.1" 200 9110
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:39 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:39 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:39 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:39 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [26/Jun/2016:16:10:39 +0900] "GET /StudyProject/style.css HTTP/1.1" 404 1038
