127.0.0.1 - - [10/Jul/2016:03:55:18 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:19 +0900] "GET /StudyProject/WEB-INF/jsp/StudyRoom/StudyMain.jsp HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22204
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:29 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:30 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:30 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 11593
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/css/preloader.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/js/owl.carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/images/shape.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:33 +0900] "GET /StudyProject/images/scroll.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:36 +0900] "GET /StudyProject/login_form.room HTTP/1.1" 200 9478
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:36 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:37 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:42 +0900] "GET /StudyProject/login.room?id=jinho528&pw=dkssud%212 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:42 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 11680
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:42 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:45 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22267
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:45 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:52 +0900] "GET /StudyProject/StudyRoomMain.room?pageNum=2 HTTP/1.1" 200 22305
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:52 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:54 +0900] "GET /StudyProject/StudyRoomMain.room?pageNum=3 HTTP/1.1" 200 22290
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:54 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:56 +0900] "GET /StudyProject/StudyRoomMain.room?pageNum=1 HTTP/1.1" 200 22267
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:55:56 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:01 +0900] "GET /StudyProject/StudyRoomView.room?SRID=40 HTTP/1.1" 200 12376
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:01 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/StudyRoomCreate.room HTTP/1.1" 200 16986
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/js/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/SmartEditor2Skin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/css/smart_editor2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/js/SE2B_Configuration_General.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/js/jindo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/js/SE2BasicCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/photo_uploader/plugin/hp_SE2M_AttachQuickPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/js/jindo_component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/js/SE2B_Configuration_Service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/js/smarteditor2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/ko_KR/text_tool_set.png?140317 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/bg_text_tool.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/ko_KR/btn_set.png?130306 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/ico_extend.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/icon_set.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/css/smart_editor2_items.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/smart_editor2_inputarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/css/smart_editor2_in.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/bg_button_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/bg_button.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:10 +0900] "GET /StudyProject/SE2/img/bg_button_left.gif?20121228 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:39 +0900] "POST /StudyProject/StudyRoomInsert.room HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:39 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22268
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:40 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:44 +0900] "GET /StudyProject/StudyRoomView.room?SRID=42 HTTP/1.1" 200 12620
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:44 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:46 +0900] "GET /StudyProject/StudyRoomModifyForm.room?SRID=42 HTTP/1.1" 200 17233
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:46 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:56:46 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:36 +0900] "GET /StudyProject/StudyRoomModifyForm.room?SRID=42 HTTP/1.1" 200 17233
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:36 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:36 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:47 +0900] "GET /StudyProject/StudyRoomDelete.room?SRID=42 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:47 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22267
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:47 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:49 +0900] "GET /StudyProject/StudyRoomView.room?SRID=41 HTTP/1.1" 200 12382
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:57:49 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:47 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22204
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:47 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:49 +0900] "GET /StudyProject/login_form.room HTTP/1.1" 200 9478
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:49 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:51 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:56 +0900] "GET /StudyProject/login.room?id=jinho528&pw=dkssud%212 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:57 +0900] "GET /StudyProject/StudyMain.room HTTP/1.1" 200 11680
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:57 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:57 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:59 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22267
0:0:0:0:0:0:0:1 - - [10/Jul/2016:03:59:59 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:03 +0900] "GET /StudyProject/StudyRoomCreate.room HTTP/1.1" 200 16986
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:03 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:03 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:17 +0900] "POST /StudyProject/StudyRoomInsert.room HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:18 +0900] "GET /StudyProject/StudyRoomMain.room HTTP/1.1" 200 22270
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:18 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:20 +0900] "GET /StudyProject/StudyRoomView.room?SRID=42 HTTP/1.1" 200 12663
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:20 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:22 +0900] "GET /StudyProject/StudyRoomModifyForm.room?SRID=42 HTTP/1.1" 200 17271
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:22 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:22 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/StudyRoomModifyForm.room?SRID=42 HTTP/1.1" 200 17332
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/ajax.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/css/owl.theme.default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/js/HuskyEZCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:43 +0900] "GET /StudyProject/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /OpenStudy/js/HuskyEZCreator.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/images/header_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/SmartEditor2Skin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/css/smart_editor2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/js/SE2BasicCreator.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/js/SE2B_Configuration_General.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/js/jindo_component.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/js/SE2B_Configuration_Service.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/photo_uploader/plugin/hp_SE2M_AttachQuickPhoto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/js/smarteditor2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/js/jindo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/css/smart_editor2_items.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:44 +0900] "GET /StudyProject/SE2/smart_editor2_inputarea.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2016:04:00:45 +0900] "GET /StudyProject/StudyRoomModifyForm.room?SRID=42 HTTP/1.1" 200 17332
