2016-06-17 15:17:07,209 [Worker-47] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:first:1.0.0-BUILD-SNAPSHOT @ C:\sistproject\board\pom.xml.
2016-06-17 15:17:13,097 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:17:13,100 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-17 15:17:13,145 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:17:13,147 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\board\src\test\resources
2016-06-17 15:17:25,971 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:17:26,007 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-17 15:17:26,066 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:17:26,068 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\board\src\test\resources
2016-06-17 15:18:57,896 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:18:57,901 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-17 15:18:57,938 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:18:57,940 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\board\src\test\resources
2016-06-17 15:36:42,153 [Worker-60] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.company:first:1.0.0-BUILD-SNAPSHOT @ C:\sistproject\company\pom.xml.
2016-06-17 15:36:47,198 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:36:47,201 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-17 15:36:47,217 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:36:47,219 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-17 15:37:00,955 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:37:00,960 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-17 15:37:00,961 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-17 15:37:00,963 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-21 22:40:40,064 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-21 22:40:40,088 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-21 22:40:40,106 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-21 22:40:40,110 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-22 13:26:24,423 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-22 13:26:24,496 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-22 13:26:24,515 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-22 13:26:24,520 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-22 17:47:28,124 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-22 17:47:28,156 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-22 17:47:28,179 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-22 17:47:28,182 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-24 21:52:53,038 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-24 21:52:53,076 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-24 21:52:53,088 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-24 21:52:53,115 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-26 16:09:33,462 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-26 16:09:33,615 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-26 16:09:33,702 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
